url_data	is_reference_data	description	dataset_name	bibreference_num
http://157.136.252.188:3000/ref_elements	Y	Atomic number
http://157.136.252.188:3000/dataset_tyoungxx	N	Dataset	dataset_tyoungxx	c.bibreference >= 20 AND c.bibreference <= 71
http://157.136.252.188:3000/dataset_adisser17	N	Dataset	dataset_adisser17	c.bibreference = 1
http://157.136.252.188:3000/dataset_gzabinski23	N	Dataset	dataset_gzabinski23	c.bibreference = 19
http://157.136.252.188:3000/dataset_gpages22	N	Dataset	dataset_gpages22	c.bibreference = 2
http://157.136.252.188:3000/dataset_vserneels93	N	Dataset
http://157.136.252.188:3000/dataset_sleroy12	N	Dataset
http://157.136.252.188:3000/dataset_pdillmann17	N	Dataset
http://157.136.252.188:3000/dataset_amdesaulty8a	N	Dataset
http://157.136.252.188:3000/dataset_amdesaulty8b	N	Dataset
http://157.136.252.188:3000/dataset_jmilot16	N	Dataset
http://157.136.252.188:3000/dataset_mpcoustures06	N	Dataset
http://157.136.252.188:3000/dataset_gstdidier17	N	Dataset
http://157.136.252.188:3000/dataset_mbrauns13	N	Dataset
http://157.136.252.188:3000/dataset_lheritier20	N	Dataset
http://157.136.252.188:3000/dataset_mleroy97	N	Dataset
http://157.136.252.188:3000/dataset_mleroy24	N	Dataset
http://157.136.252.188:3000/dataset_leschenlohr01	N	Dataset
http://157.136.252.188:3000/dataset_tivancan21	N	Dataset
http://157.136.252.188:3000/dataset_pmameli14	N	Dataset
http://157.136.252.188:3000/dataset_kmittelstaedt22	N	Dataset
http://157.136.252.188:3000/dataset_mbenvenuti13	N	Dataset
